               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.050564,            0.044508,             0.02997,             0.33559,             0.80293,              0.6093,             0.27862,            0.051994,            0.042969,             0.02851,           0.0077973,           0.0077973,           0.0077973
                  91,            0.052427,            0.050429,            0.031081,             0.58583,             0.55312,             0.64626,             0.37316,             0.05245,            0.043352,            0.027341,           0.0077725,           0.0077725,           0.0077725
                  92,            0.051246,            0.046718,            0.031973,             0.58583,             0.55312,             0.64626,             0.37316,             0.05245,            0.043352,            0.027341,           0.0077478,           0.0077478,           0.0077478
                  93,            0.050256,             0.05029,            0.032846,              0.8623,             0.38612,             0.68386,             0.29412,            0.055609,            0.042173,            0.027306,            0.007723,            0.007723,            0.007723
                  94,            0.055736,            0.048312,            0.031543,              0.8623,             0.38612,             0.68386,             0.29412,            0.055609,            0.042173,            0.027306,           0.0076983,           0.0076983,           0.0076983
                  95,            0.053734,            0.046907,            0.031134,             0.54443,              0.6473,             0.65099,             0.36332,            0.050343,            0.041461,            0.027222,           0.0076735,           0.0076735,           0.0076735
                  96,            0.046979,            0.054056,            0.031139,             0.54443,              0.6473,             0.65099,             0.36332,            0.050343,            0.041461,            0.027222,           0.0076488,           0.0076488,           0.0076488
                  97,            0.046844,            0.050183,            0.029673,             0.62781,             0.55353,             0.58879,             0.27231,            0.055552,            0.041281,            0.026814,            0.007624,            0.007624,            0.007624
                  98,            0.053286,            0.048267,            0.029855,             0.62781,             0.55353,             0.58879,             0.27231,            0.055552,            0.041281,            0.026814,           0.0075993,           0.0075993,           0.0075993
                  99,            0.055708,             0.05342,            0.031092,             0.35249,             0.82793,             0.64521,             0.37805,            0.053528,            0.040111,            0.026906,           0.0075745,           0.0075745,           0.0075745
                 100,            0.052004,            0.052757,            0.028912,             0.35249,             0.82793,             0.64521,             0.37805,            0.053528,            0.040111,            0.026906,           0.0075498,           0.0075498,           0.0075498
                 101,            0.052579,            0.049843,            0.031281,             0.71544,             0.53658,             0.73006,              0.3563,            0.045803,            0.039269,            0.026657,            0.007525,            0.007525,            0.007525
                 102,            0.044667,            0.042949,            0.029047,             0.71544,             0.53658,             0.73006,              0.3563,            0.045803,            0.039269,            0.026657,           0.0075003,           0.0075003,           0.0075003
                 103,            0.045837,            0.050816,            0.029879,               0.653,             0.52083,             0.63335,             0.36928,            0.050284,             0.04261,            0.026122,           0.0074755,           0.0074755,           0.0074755
                 104,            0.051708,             0.04473,            0.029625,               0.653,             0.52083,             0.63335,             0.36928,            0.050284,             0.04261,            0.026122,           0.0074507,           0.0074507,           0.0074507
                 105,            0.049495,            0.046644,            0.028947,             0.68166,             0.53834,             0.53271,             0.23088,            0.062331,             0.04205,            0.026066,            0.007426,            0.007426,            0.007426
                 106,            0.063581,             0.04926,            0.027102,             0.68166,             0.53834,             0.53271,             0.23088,            0.062331,             0.04205,            0.026066,           0.0074013,           0.0074013,           0.0074013
                 107,            0.059159,            0.045239,            0.029186,              0.6878,             0.55165,             0.64954,              0.2797,             0.04916,             0.03903,               0.026,           0.0073765,           0.0073765,           0.0073765
